date,ticker,company,score,rank,catalyst,items,price,stop,target,rr,atr_pct,mom5d,mom20d,above_ma20,earnings_date,excluded,exclude_reason,ret_2d,ret_5d,ret_10d
2026-09-25,IBTA,"8-K - Ibotta, Inc.",0.0,0,Reg FD Disclosure,"5.02,7.01,9.01",41.68000030517578,39.13,43.43,0.69,4.07,-0.41,16.07,1,,1,R:R 0.7:1 < 1.5:1 required,,,
2026-09-25,ICFI,"8-K - ICF International, Inc.",3.76,0,Earnings Results,"2.02,9.01",83.0,79.43,95.53,3.51,2.87,-4.25,14.74,0,,0,,,,
2026-09-25,IRDM,8-K - Iridium Communications Inc.,2.92,0,Item 5.07,"5.07,8.01,9.01",48.88999938964844,47.36,56.99,5.3,2.08,2.97,-11.97,1,,0,,,,
2026-09-25,JAGU,8-K - Jaguar Uranium Corp.,0.0,0,Item 5.07,"5.07,9.01",1.4600000381469727,1.29,1.96,2.88,7.93,-7.59,-14.12,0,,1,price $1.46 outside $5.0–$500.0,,,
2026-09-25,KTB,"8-K - Kontoor Brands, Inc.",1.48,0,Officer Change,"5.02,9.01",64.41000366210938,60.74,88.32,6.52,3.8,-1.71,-23.67,0,,0,,,,
2026-09-25,LEA,8-K - LEAR CORP,1.37,0,Other Event,"8.01,9.01",119.37000274658203,113.88,149.08,5.41,3.06,-1.05,-8.21,0,,0,,,,
2026-09-25,LINE,"8-K - Lineage, Inc.",1.14,0,Reg FD Disclosure,"5.02,7.01,9.01",35.95000076293945,34.6,45.75,7.28,2.5,-2.34,-18.3,0,,0,,,,
2026-09-25,MAR,8-K - MARRIOTT INTERNATIONAL INC /MD/,4.22,0,Material Agreement,"1.01,2.03,9.01",351.4150085449219,340.86,383.45,3.03,2.0,3.69,-5.58,1,,0,,,,
2026-09-25,NXGLW,"8-K - NEXGEL, INC.",0.0,0,Reg FD Disclosure,"7.01,9.01",,,,,,,,,,1,routine filer — filed item 9.01 4× in 6 weeks,,,
2026-09-25,OPI,8-K - OFFICE PROPERTIES INCOME TRUST,0.0,0,Material Agreement,"1.01,1.02,2.03,9.01",16.670000076293945,15.31,20.79,3.02,5.45,-5.39,0.42,0,,1,excluded by name pattern (Office Properties Income Trust),,,
2026-09-25,PARAW,"8-K/A - Banzai International, Inc.",2.67,0,Material Agreement,"1.01,9.01",,,,,,,,,,0,,,,
2026-09-25,PGIM,8-K - PGIM Private Credit Fund,2.67,0,Material Agreement,"1.01,2.03,9.01",,,,,,,,,,0,,,,
2026-09-25,PNBK,8-K - PATRIOT NATIONAL BANCORP INC,0.0,0,Material Agreement,"1.01,9.01",,,,,,,,,,1,routine filer — filed item 9.01 3× in 6 weeks,,,
2026-09-25,PRCT,8-K - PROCEPT BioRobotics Corp,2.98,0,Material Agreement,"1.01,9.01",17.149999618530273,15.67,24.09,4.69,5.76,-11.14,-18.45,0,,0,,,,
2026-09-25,ROK,"8-K - ROCKWELL AUTOMATION, INC",2.12,0,Officer Change,5.02,434.3399963378906,419.02,487.85,3.49,2.35,4.5,-7.64,1,,0,,,,
2026-09-25,RZLT,"8-K - Rezolute, Inc.",0.0,0,Earnings Results,"2.02,9.01",3.9539999961853027,3.58,5.64,4.47,6.34,2.97,-19.47,0,,1,price $3.95 outside $5.0–$500.0,,,
2026-09-25,SAY,8-K - SARATOGA INVESTMENT CORP.,0.0,0,Material Agreement,"1.01,2.03,9.01",,,,,,,,,,1,routine filer — filed item 1.01 3× in 6 weeks,,,
2026-09-25,SFB,8-K - STIFEL FINANCIAL CORP,0.0,0,Reg FD Disclosure,"7.01,9.01",,,,,,,,,,1,"routine items only (7.01, 9.01)",,,
2026-09-25,SHAZW,8-K - SharonAI Holdings Inc.,0.0,0,Item 4.01,"4.01,9.01",,,,,,,,,,1,routine filer — filed item 9.01 9× in 6 weeks,,,
2026-09-25,SSGC,8-K - SafeSpace Global Corp,0.0,0,Material Agreement,"1.01,2.03,3.02,9.01",0.08500000089406967,0.07,0.19,7.6,10.84,-14.14,-22.73,0,,1,excluded by name pattern (SafeSpace Global Corporation),,,
2026-09-25,STKS,"8-K - ONE Group Hospitality, Inc.",0.0,0,Officer Change,5.02,1.6299999952316284,1.53,2.15,5.42,3.93,0.62,-17.26,1,,1,price $1.63 outside $5.0–$500.0,,,
2026-09-25,SYY,8-K - SYSCO CORP,0.0,0,Other Event,"8.01,9.01",,,,,,,,,,1,routine filer — filed item 8.01 3× in 6 weeks,,,
2026-09-25,TALO,8-K - TALOS ENERGY INC.,1.15,0,Reg FD Disclosure,"5.02,7.01,9.01",16.625,15.61,18.73,2.07,4.07,-2.26,22.33,0,,0,,,,
2026-09-25,USAC,"8-K - USA Compression Partners, LP",0.0,0,Material Agreement,"1.01,2.03,9.01",,,,,,,,,,1,routine filer — filed item 9.01 3× in 6 weeks,,,
2026-09-25,UYSCR,8-K - UY Scuti Acquisition Corp.,2.67,0,Material Agreement,"1.01,9.01",,,,,,,,,,0,,,,
2026-09-25,VENU,8-K - Venu Holding Corp,0.0,0,Item 5.07,"5.02,5.07,7.01,9.01",1.5449999570846558,1.38,2.88,8.22,7.01,3.69,-29.13,0,,1,price $1.54 outside $5.0–$500.0,,,
2026-09-25,VST,8-K - Vistra Corp.,3.23,0,Material Agreement,"1.01,8.01,9.01",139.24000549316406,133.25,169.48,5.05,2.87,-0.85,-7.67,0,,0,,,,
2026-09-25,WS,"8-K - Worthington Steel, Inc.",2.93,0,Item 5.07,5.07,35.59000015258789,33.74,39.02,1.86,3.46,6.78,11.7,1,,0,,,,
2026-09-25,WTTR,"8-K - Select Water Solutions, Inc.",3.91,0,Material Agreement,"1.01,3.02,7.01,8.01,9.01",20.3700008392334,19.11,22.47,1.67,4.11,-1.97,13.61,1,,0,,,,
2026-09-25,XAIR,"8-K - Beyond Air, Inc.",0.0,0,Material Agreement,"1.01,5.02,9.01",2.9200000762939453,2.63,9.6,23.39,6.52,-5.5,-68.8,0,,1,price $2.92 outside $5.0–$500.0,,,
2026-09-25,ZS,"8-K - Zscaler, Inc.",0.0,0,Officer Change,5.02,204.00999450683594,188.94,216.97,0.86,4.92,3.4,38.47,1,,1,already up 38.5% in 20 days,,,
